pair_id,gloss,pan,pkd,sca,ned,sca_hit,ned_hit
001_1sg,1sg,*aku,*aku,0.0,0.0,1,1
002_2sg,2sg,*-Su; *-mu (plural),*-məː,0.8995951417004049,0.9166666666666666,0,0
003_afraid_fear,afraid; fear,*talaw,*C-laːw,0.3271794871794872,0.6,1,0
005_arm,arm,(PMP *baRa; *ləŋən),*qeːn,0.9107692307692308,0.9333333333333333,0,0
008_big,big,*Raya,*bəːk,0.8192307692307692,1.0,0,0
009_bird_chicken,bird; chicken,*maNuk,*malok,0.2749999999999999,0.4,1,1
010_bitter,bitter,*paqit,*CV-qəm,0.6144796380090498,0.8,0,0
011_blow,blow,*səyup,*h-ju(1/2)p,0.36410256410256403,0.6,1,0
013_body_hair,body hair,*bulu,*qupu1l,0.48351648351648346,0.6,0,0
016_carry_on_a_pole,carry on a pole,*pasaqaN,*ʈaːp,0.9634615384615385,0.8571428571428571,0,0
019_chest,chest,*daSdaS; *dəbdəb; *Rusuk (ribcage/sternum),*u2k,1.0726495726495726,0.9428571428571428,0,0
021_cold,cold,*ramig; *giŋgiŋ,*kVniːt,0.8005698005698005,0.9230769230769231,0,0
022_cook,cook,*[N/n]asu(k); *taNək; *-sak,*C̥V-ru(ː)ŋ,0.9,0.9444444444444444,0,0
023_cry,cry,*Caŋis,*tVŋi(j),0.6633484162895927,0.6,0,0
024_dark_black,dark; black,*-dəm,*(C̥V/m)-dam,0.5365384615384615,0.7142857142857143,0,0
025_deaf,deaf,*Culi,*CV-lək,0.5302564102564102,0.6,0,0
026_deep,deep,*daləm,*C-alək,0.3500000000000001,0.4,1,1
027_die,die,*(m/p-)aCay,*p-ataːy,0.34065934065934067,0.5,1,0
029_drop_fall,drop; fall,*-tuq,*tok,0.040000000000000036,0.6666666666666666,1,0
030_duck,duck,(PMP *ŋaRaq),*CV-bit,0.7892976588628763,1.0,0,0
031_eat,eat,*ka(ʔ)ən,*(i-)kan,0.4791208791208791,0.6,0,0
032_eight,eight,*walu,*C[lab]ɭuː,0.5980769230769232,0.7142857142857143,0,0
033_excrement,excrement,*Caqi; (PMP *taqay),*CV-q[i/aːj],0.7139601139601139,0.7142857142857143,0,0
034_eye,eye,*maCa,*m[a/ə]ʈaː,0.13333333333333341,0.5,1,0
035_fart,fart,*qətut,*k[a/ə]tu2t,0.02499999999999991,0.3333333333333333,1,1
036_fingernail,fingernail,*kuSkuS,*CV-lep,0.8574898785425101,1.0,0,0
037_fire,fire,*Sapuy,*apuy,0.22461538461538466,0.2,1,1
038_five,five,*lima,*ɭVmaː,0.4011834319526627,0.6,0,0
040_flow,flow,*qaluR; *qaNud; (PMP *qaRus; *qaliR; *saliR),C̥V-luy,1.0113207547169811,0.9722222222222222,0,0
041_foot1,foot1,*[w/q]aqay,*tiːn,0.9408284023668639,1.0,0,0
042_foot2,foot2,*[w/q]aqay,*kok,0.39644970414201186,1.0,1,0
044_fruit,fruit,*buaq,*CV-maːk,0.4923076923076922,0.8333333333333334,0,0
045_full,full,*pəNuq,*C[lab]V-tiːk,0.7062937062937062,1.0,0,0
046_hand,hand,*qalima,*C-iməː,0.4174358974358975,0.8333333333333334,0,0
048_head,head,*quluh,*kuɭuː,0.18681318681318682,0.6,1,0
049_hold_grab,hold; grab,*-[g/k]əm,*N-kamᴬ,0.3142857142857143,0.6,1,0
050_hole,hole,*buhaŋ; *kalih; *lubaŋ (burial pit),*ɟoːŋ,1.0146520146520146,0.9642857142857143,0,0
055_leaf,leaf,*waSaw,*bəː,0.8671328671328671,1.0,0,0
059_lick,lick,*dilaq,*liːm,0.7230769230769232,0.8,0,0
060_liver,liver,*qaCay,*tap,0.7496503496503497,0.8,0,0
061_loom_weave,loom; weave,*qatip (part of loom); t[i/ə]nun (weave),*uʈəːk,0.9606003752345216,0.9629629629629629,0,0
062_louse,louse,*kuCu,*C-uʈuː,0.2666666666666666,0.6,1,0
064_moon,moon,*bulaN,*buɭaːl,0.25,0.5,1,0
065_mushroom,mushroom,*kulaC (bracket fungus); *bajiw; *quSuŋ,*C-uret,0.9062678062678063,0.875,0,0
066_navel,navel,*puja,*C[lab]udəː,0.6868778280542986,0.875,0,0
068_new,new,*baqəRuh,*C̥-maːl,0.8658119658119658,1.0,0,0
069_nine,nine,*siwa,(*s(i)waː),0.058974358974358876,0.3333333333333333,1,1
070_nose,nose,*ujuŋ,*(ŋ)-V[+H]daŋ,0.7583710407239819,0.8571428571428571,0,0
071_one,one,*isa,(*icəː),0.28076923076923077,0.8,1,0
073_outside_go_outside,outside; (go outside),*NataD,*oːk,0.9552447552447553,1.0,0,0
076_pig,pig,*babuy; *bəRək,*xVmuː,0.9516483516483516,0.9166666666666666,0,0
078_rain,rain,*quzaN; *salaw,*CV-pu1n,0.8283076923076923,0.9166666666666666,0,0
081_road,road,*zalan,*c-ugu2n,0.4,0.8,1,0
082_scale_skin,scale; skin,*qaNiC,*kalec,0.2749999999999999,0.6,1,0
083_seed,seed,*binəSiq; *Rahap,*ipan,0.8449230769230769,0.8571428571428571,0,0
084_seven,seven,*pitu,*CV-tuː,0.4650887573964497,0.6,0,0
087_shoulder,shoulder,*qabaRa,*CV-baː,0.6509615384615385,0.6666666666666666,0,0
090_six,six,*(x)ənəm,*xən[a/ə]m,0.02499999999999991,0.16666666666666666,1,1
091_skin,skin,*kuliC,*CV-nəŋ,0.8479638009049774,1.0,0,0
093_sky,sky,*Rabun,*C-bu1n,0.45641025641025645,0.4,0,1
094_snot,snot,*ŋuSuR,*muːk,0.8378698224852071,0.8,0,0
096_stand,stand,*diRi,*CV-ɟuːn,0.8471794871794872,1.0,0,0
098_steal,steal,*Cakaw,*C̬ilakᴰ,0.525,0.7142857142857143,0,0
100_stone,stone,*batu,*ʈiːl,0.6699300699300699,1.0,0,0
101_sweet,sweet,(PMP *həmis),*CV-waːl,0.9096989966555185,1.0,0,0
102_tail,tail,*(k)ikuR,*CV-cu1t,0.7085972850678732,0.8,0,0
104_this,this,*-ni,*niː,0.0,0.3333333333333333,1,1
105_three,three,*təlu,*utuː,0.6476923076923078,1.0,0,0
107_to_fly,to fly,*layap,*CV-pil,0.9021978021978022,1.0,0,0
109_tongue2,tongue2,*Səma,*Səmaːᴬ,0.0,0.3333333333333333,1,1
110_tooth,tooth,*[l/n/ŋ]ipan,*(l)ipan,0.25,0.2857142857142857,1,1
